Date,suhu,kelembaban,matahari
10-12-2010,26.4,89,3.5
11-12-2010,25.6,88,0
12-12-2010,27.1,82,0
13-12-2010,27.6,81,2.6
14-12-2010,25.9,90,3
15-12-2010,26.2,87,0.3
16-12-2010,26.7,80,4
17-12-2010,26.3,82,4.5
18-12-2010,27.4,80,0.5
19-12-2010,27.2,80,5.5
20-12-2010,26.3,86,4.3
21-12-2010,27,84,0.7
22-12-2010,26.3,86,0.6
23-12-2010,26.3,87,0
24-12-2010,26.6,80,2
25-12-2010,26.3,86,8
26-12-2010,25.9,87,4
27-12-2010,27,84,4.6
28-12-2010,26.9,82,5.6

